tablename,oracle_columnname,oracle_data_type,oracle_default_value,oracle_nullable,mysql_colume_name,mysql_data_type,mysql_default_value,mysql_nullable,validate_name,validate_type,validate_default,validate_nullable,recommend_type
PMT_TXN,ITM_BN_TOWN,VARCHAR2,null,Y,ITM_BN_TOWN,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,ITM_BN_COUNTRY,VARCHAR2,null,Y,ITM_BN_COUNTRY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,ITM_BN_BR_CODE,VARCHAR2,null,Y,ITM_BN_BR_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,ITM_BN_NAME,VARCHAR2,null,Y,ITM_BN_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,ITM_BN_BIC,VARCHAR2,null,Y,ITM_BN_BIC,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,TARGET_CURRENCY,VARCHAR2,null,Y,TARGET_CURRENCY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,ADDITIONS,NCLOB,null,Y,ADDITIONS,LONGTEXT,null,Y,TRUE,TRUE,N/A,TRUE,LONGTEXT 
PMT_TXN,MANDATE_ID,VARCHAR2,null,Y,MANDATE_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,ACCOUNT_TYPE,VARCHAR2,null,Y,ACCOUNT_TYPE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,RECIPIENT_ID,VARCHAR2,null,Y,RECIPIENT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,CHARGE_BEARER,VARCHAR2,null,Y,CHARGE_BEARER,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,FEE_AMOUNT,NUMBER,null,Y,FEE_AMOUNT,DECIMAL,null,Y,TRUE,TRUE,N/A,TRUE,DECIMAL DOUBLE 
PMT_TXN,FEE_CURRENCY,VARCHAR2,null,Y,FEE_CURRENCY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,EXC_RATE_CURRENCY,VARCHAR2,null,Y,EXC_RATE_CURRENCY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,EXC_RATE,NUMBER,null,Y,EXC_RATE,DECIMAL,null,Y,TRUE,TRUE,N/A,TRUE,DECIMAL DOUBLE 
PMT_TXN,EXC_RATE_TYPE,VARCHAR2,null,Y,EXC_RATE_TYPE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,EXC_RATE_CONTRACT_ID,VARCHAR2,null,Y,EXC_RATE_CONTRACT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,PURP_OF_PAYMENT_CODE,VARCHAR2,null,Y,PURP_OF_PAYMENT_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,PURP_OF_PAYMENT_TEXT,VARCHAR2,null,Y,PURP_OF_PAYMENT_TEXT,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,CONTACT_ID,VARCHAR2,null,Y,CONTACT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,ACCOUNT_ID,VARCHAR2,null,Y,ACCOUNT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN,AMOUNT_TYPE,VARCHAR2,null,Y,AMOUNT_TYPE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN_ADD_PROP,TXN_ID,VARCHAR2,null,N,TXN_ID,VARCHAR,null,N,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN_ADD_PROP,PROPERTY_KEY,VARCHAR2,null,N,PROPERTY_KEY,VARCHAR,null,N,TRUE,TRUE,N/A,TRUE,VARCHAR 
PMT_TXN_ADD_PROP,PROPERTY_VALUE,CLOB,null,Y,PROPERTY_VALUE,LONGTEXT,null,Y,TRUE,TRUE,N/A,TRUE,LONGTEXT 
TEMPLATE,ID,VARCHAR2,null,N,ID,VARCHAR,null,N,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,NAME,VARCHAR2,null,Y,NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CREATED_AT,TIMESTAMP(6),null,N,CREATED_AT,DATETIME,null,N,TRUE,N/A,N/A,TRUE,N/A
TEMPLATE,SERVICE_AGREEMENT_ID,VARCHAR2,null,N,SERVICE_AGREEMENT_ID,VARCHAR,null,N,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,PAYMENT_TYPE,VARCHAR2,null,Y,PAYMENT_TYPE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ORIG_ACC_ACCOUNT_SCHEME,VARCHAR2,null,Y,ORIG_ACC_ACCOUNT_SCHEME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ORIG_ACC_ACCOUNT,VARCHAR2,null,Y,ORIG_ACC_ACCOUNT,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ORIG_ACC_NAME,VARCHAR2,null,Y,ORIG_ACC_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ORIG_ACC_ARRANGEMENT_ID,VARCHAR2,null,Y,ORIG_ACC_ARRANGEMENT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ORIG_ACC_EXT_ARRANGEMENT_ID,VARCHAR2,null,Y,ORIG_ACC_EXT_ARRANGEMENT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,INSTRUCTION_PRIORITY,VARCHAR2,null,Y,INSTRUCTION_PRIORITY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ENTRY_CLASS,VARCHAR2,null,Y,ENTRY_CLASS,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_NAME,VARCHAR2,null,Y,CP_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ROLE,VARCHAR2,null,Y,CP_ROLE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ADDR_LN1,VARCHAR2,null,Y,CP_ADDR_LN1,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ADDR_LN2,VARCHAR2,null,Y,CP_ADDR_LN2,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_STR_NAME,VARCHAR2,null,Y,CP_STR_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_POST_CODE,VARCHAR2,null,Y,CP_POST_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_TOWN,VARCHAR2,null,Y,CP_TOWN,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_C_SB_DIV,VARCHAR2,null,Y,CP_C_SB_DIV,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_COUNTRY,VARCHAR2,null,Y,CP_COUNTRY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_RECIPIENT_ID,VARCHAR2,null,Y,CP_RECIPIENT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_ACCOUNT_SCHEME,VARCHAR2,null,Y,CP_ACC_ACCOUNT_SCHEME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_ACCOUNT,VARCHAR2,null,Y,CP_ACC_ACCOUNT,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_NAME,VARCHAR2,null,Y,CP_ACC_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_TYPE,VARCHAR2,null,Y,CP_ACC_TYPE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_CONTACT_ID,VARCHAR2,null,Y,CP_ACC_CONTACT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_ACCOUNT_ID,VARCHAR2,null,Y,CP_ACC_ACCOUNT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_BR_CODE,VARCHAR2,null,Y,CP_BN_BR_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_NAME,VARCHAR2,null,Y,CP_BN_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_BIC,VARCHAR2,null,Y,CP_BN_BIC,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_ADDR_LN1,VARCHAR2,null,Y,CP_BN_ADDR_LN1,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_ADDR_LN2,VARCHAR2,null,Y,CP_BN_ADDR_LN2,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_STR_NAME,VARCHAR2,null,Y,CP_BN_STR_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_POST_CODE,VARCHAR2,null,Y,CP_BN_POST_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_C_SB_DIV,VARCHAR2,null,Y,CP_BN_C_SB_DIV,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_TOWN,VARCHAR2,null,Y,CP_BN_TOWN,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_BN_COUNTRY,VARCHAR2,null,Y,CP_BN_COUNTRY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,AMOUNT,NUMBER,null,Y,AMOUNT,DECIMAL,null,Y,TRUE,TRUE,N/A,TRUE,DECIMAL DOUBLE 
TEMPLATE,CURRENCY,VARCHAR2,null,Y,CURRENCY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_BR_CODE,VARCHAR2,null,Y,COR_BN_BR_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_NAME,VARCHAR2,null,Y,COR_BN_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_BIC,VARCHAR2,null,Y,COR_BN_BIC,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_ADDR_LN1,VARCHAR2,null,Y,COR_BN_ADDR_LN1,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_ADDR_LN2,VARCHAR2,null,Y,COR_BN_ADDR_LN2,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_STR_NAME,VARCHAR2,null,Y,COR_BN_STR_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_POST_CODE,VARCHAR2,null,Y,COR_BN_POST_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_C_SB_DIV,VARCHAR2,null,Y,COR_BN_C_SB_DIV,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_TOWN,VARCHAR2,null,Y,COR_BN_TOWN,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,COR_BN_COUNTRY,VARCHAR2,null,Y,COR_BN_COUNTRY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_BR_CODE,VARCHAR2,null,Y,ITM_BN_BR_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_NAME,VARCHAR2,null,Y,ITM_BN_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_BIC,VARCHAR2,null,Y,ITM_BN_BIC,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_ADDR_LN1,VARCHAR2,null,Y,ITM_BN_ADDR_LN1,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_ADDR_LN2,VARCHAR2,null,Y,ITM_BN_ADDR_LN2,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_STR_NAME,VARCHAR2,null,Y,ITM_BN_STR_NAME,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_POST_CODE,VARCHAR2,null,Y,ITM_BN_POST_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_C_SB_DIV,VARCHAR2,null,Y,ITM_BN_C_SB_DIV,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_TOWN,VARCHAR2,null,Y,ITM_BN_TOWN,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ITM_BN_COUNTRY,VARCHAR2,null,Y,ITM_BN_COUNTRY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,MESSAGE_TO_BANK,VARCHAR2,null,Y,MESSAGE_TO_BANK,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,TARGET_CURRENCY,VARCHAR2,null,Y,TARGET_CURRENCY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,REM_INFO_TYPE,VARCHAR2,null,Y,REM_INFO_TYPE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,REM_INFO_CONTENT,VARCHAR2,null,Y,REM_INFO_CONTENT,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,MANDATE_ID,VARCHAR2,null,Y,MANDATE_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,E2E_ID,VARCHAR2,null,Y,E2E_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CHARGE_BEARER,VARCHAR2,null,Y,CHARGE_BEARER,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,ADDITIONS,NCLOB,null,Y,ADDITIONS,LONGTEXT,null,Y,TRUE,TRUE,N/A,TRUE,LONGTEXT 
TEMPLATE,PURP_OF_PAYMENT_CODE,VARCHAR2,null,Y,PURP_OF_PAYMENT_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,PURP_OF_PAYMENT_TEXT,VARCHAR2,null,Y,PURP_OF_PAYMENT_TEXT,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_ARRANGEMENT_ID,VARCHAR2,null,Y,CP_ACC_ARRANGEMENT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,CP_ACC_EXT_ARRANGEMENT_ID,VARCHAR2,null,Y,CP_ACC_EXT_ARRANGEMENT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,EXTERNAL_ID,VARCHAR2,null,N,EXTERNAL_ID,VARCHAR,null,N,TRUE,TRUE,N/A,TRUE,VARCHAR 
TEMPLATE,UPDATED_AT,TIMESTAMP(6),null,Y,UPDATED_AT,DATETIME,null,Y,TRUE,N/A,N/A,TRUE,N/A
TEMPLATE,AMOUNT_TYPE,VARCHAR2,null,Y,AMOUNT_TYPE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
BULK_APPROVAL_ITEM,ID,NUMBER,null,N,ID,BIGINT,null,N,TRUE,FALSE,N/A,TRUE,DECIMAL DOUBLE 
BULK_APPROVAL_ITEM,PAYMENT_ID,VARCHAR2,null,Y,PAYMENT_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
BULK_APPROVAL_ITEM,APPROVAL_RECORD_ID,VARCHAR2,null,Y,APPROVAL_RECORD_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
BULK_APPROVAL_ITEM,APPROVAL_STATUS,VARCHAR2,null,Y,APPROVAL_STATUS,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
BULK_APPROVAL_ITEM,ACTION_STATUS,VARCHAR2,null,Y,ACTION_STATUS,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
BULK_APPROVAL_ITEM,ERRORS,CLOB,null,Y,ERRORS,LONGTEXT,null,Y,TRUE,TRUE,N/A,TRUE,LONGTEXT 
BULK_APPROVAL_ITEM,BULK_APPROVAL_ID,NUMBER,null,Y,BULK_APPROVAL_ID,BIGINT,null,Y,TRUE,FALSE,N/A,TRUE,DECIMAL DOUBLE 
